restaurant,street,zip,city,country
McDonalds,S-Bahnhof Alexanderplatz 1,10178,Berlin,Germany
McDonalds,U-Bahnhof Alexanderplatz 1,10178,Berlin,Germany
McDonalds,Europaplatz 1,10557,Berlin,Germany
McDonalds,Walther-Schreiber-Platz 1,12161,Berlin,Germany
McDonalds,Hansastr. 1,13053,Berlin,Germany
McDonalds,Hanne-Sobek-Platz 1,13357,Berlin,Germany
McDonalds,Grunerstr. 20,10179,Berlin,Germany
McDonalds,Osloer Straﬂe 1,13359,Berlin,Germany
McDonalds,Schnellerstr. 21,12439,Berlin,Germany
McDonalds,Alboinstr. 4,12103,Berlin,Germany
McDonalds,Badstr. 4,13357,Berlin,Germany
McDonalds,Weitlingstr. 22,10317,Berlin,Germany
McDonalds,Grossbeerenstr. 22,12107,Berlin,Germany
McDonalds,Wrangelstr. 35,10997,Berlin,Germany
McDonalds,Teltower Damm 35,14169,Berlin,Germany
McDonalds,Sonntagsstraﬂe 37,10245,Berlin,Germany
McDonalds,Kurt-Schumacher-Damm 38,13405,Berlin,Germany
McDonalds,Prenzlauer Promenade 45,13089,Berlin,Germany
McDonalds,Wilmersdorfer Str. 46,10629,Berlin,Germany
McDonalds,Wendenschloﬂstr. 2,12559,Berlin,Germany
McDonalds,Charlottenburger Chaussee 49,13597,Berlin,Germany
McDonalds,Am Borsigturm 2,13507,Berlin,Germany
McDonalds,Am Ostbahnhof 9,10243,Berlin,Germany
McDonalds,Bitterfelder Str. 9,12681,Berlin,Germany
McDonalds,Alt-Mahlsdorf 60,12623,Berlin,Germany
McDonalds,Alt-Friedrichsfelde 61,10315,Berlin,Germany
McDonalds,Werner-Voﬂ-Damm 62,12101,Berlin,Germany
McDonalds,Karl-Marx-Str. 66,12043,Berlin,Germany
McDonalds,Am Treptower Park 14,12435,Berlin,Germany
McDonalds,Greifswalder Str. 80,10405,Berlin,Germany
McDonalds,Klosterstr. 3,13581,Berlin,Germany
McDonalds,Saalestr. 83,12055,Berlin,Germany
McDonalds,Markstr. 16,13409,Berlin,Germany
McDonalds,Rudower Str. 100,12351,Berlin,Germany
McDonalds,Frankfurter Allee 117,10247,Berlin,Germany
McDonalds,Schlossstr. 117,12163,Berlin,Germany
McDonalds,Clayallee 121,14195,Berlin,Germany
McDonalds,Friedrichstr. 207,10969,Berlin,Germany
McDonalds,Sonnenallee 254,12057,Berlin,Germany
McDonalds,Johannisthaler Chaussee 295,12353,Berlin,Germany
McDonalds,Heerstr. 666,13591,Berlin,Germany
McDonalds,Leipziger Platz 12-13,10117,Berlin,Germany
McDonalds,Hermannplatz 2-3,10967,Berlin,Germany
McDonalds,Buckower Chaussee 100-102,12277,Berlin,Germany
McDonalds,Kantstr. 111a,10627,Berlin,Germany
McDonalds,Osdorferstr. 125a,12207,Berlin,Germany
McDonalds,Friedrichstr. 141-142,10117,Berlin,Germany
McDonalds,Friedrichstr. 141-142,10117,Berlin,Germany
McDonalds,Marzahner Promenade 1a,12679,Berlin,Germany
McDonalds,Adlergestell 289a,12489,Berlin,Germany
McDonalds,Schlossstr. 34-36,12163,Berlin,Germany
McDonalds,Am Juliusturm 40-46,13599,Berlin,Germany
McDonalds,Mecklenburgische Str. 65-68,14197,Berlin,Germany
McDonalds,Hardenbergplatz 11,10623,Berlin,Germany
