,restaurant,street,zip,city,country,lat,lng
0,McDonalds,S-Bahnhof Alexanderplatz 1,10178,Berlin,Germany,52.52127,13.41268
1,McDonalds,U-Bahnhof Alexanderplatz 1,10178,Berlin,Germany,52.52127,13.41268
2,McDonalds,Europaplatz 1,10557,Berlin,Germany,52.52569,13.36846
3,McDonalds,Walther-Schreiber-Platz 1,12161,Berlin,Germany,52.46478,13.32792
4,McDonalds,Hansastr. 1,13053,Berlin,Germany,52.54702,13.46841
5,McDonalds,Hanne-Sobek-Platz 1,13357,Berlin,Germany,52.54867,13.38836
6,McDonalds,Grunerstr. 20,10179,Berlin,Germany,52.52001,13.41519
7,McDonalds,Osloer Strasse 1,13359,Berlin,Germany,52.55565,13.39122
8,McDonalds,Schnellerstr. 21,12439,Berlin,Germany,52.45641,13.50921
9,McDonalds,Alboinstr. 4,12103,Berlin,Germany,52.46959,13.37127
10,McDonalds,Badstr. 4,13357,Berlin,Germany,52.54971,13.38749
11,McDonalds,Weitlingstr. 22,10317,Berlin,Germany,52.50944,13.49746
12,McDonalds,Grossbeerenstr. 22,12107,Berlin,Germany,52.43733,13.37992
13,McDonalds,Wrangelstr. 35,10997,Berlin,Germany,52.50071,13.43622
14,McDonalds,Teltower Damm 35,14169,Berlin,Germany,52.43159,13.25933
15,McDonalds,Sonntagsstrasse 37,10245,Berlin,Germany,52.50404,13.46889
16,McDonalds,Kurt-Schumacher-Damm 38,13405,Berlin,Germany,52.56112,13.3232
17,McDonalds,Prenzlauer Promenade 45,13089,Berlin,Germany,52.5609,13.42958
18,McDonalds,Wilmersdorfer Str. 46,10629,Berlin,Germany,52.50969,13.3055
19,McDonalds,Wendenschlossstr. 2,12559,Berlin,Germany,52.44785,13.5933
20,McDonalds,Charlottenburger Chaussee 49,13597,Berlin,Germany,52.52706,13.23341
21,McDonalds,Am Borsigturm 2,13507,Berlin,Germany,52.58393,13.28674
22,McDonalds,Am Ostbahnhof 9,10243,Berlin,Germany,52.50962,13.43458
23,McDonalds,Bitterfelder Str. 9,12681,Berlin,Germany,52.55293,13.54368
24,McDonalds,Alt-Mahlsdorf 60,12623,Berlin,Germany,52.50429,13.62453
25,McDonalds,Alt-Friedrichsfelde 61,10315,Berlin,Germany,52.50972,13.5314
26,McDonalds,Werner-Voss-Damm 62,12101,Berlin,Germany,52.47503,13.36809
27,McDonalds,Karl-Marx-Str. 66,12043,Berlin,Germany,52.48202,13.4328
28,McDonalds,Am Treptower Park 14,12435,Berlin,Germany,52.49124,13.45777
29,McDonalds,Greifswalder Str. 80,10405,Berlin,Germany,52.53947,13.43815
30,McDonalds,Klosterstr. 3,13581,Berlin,Germany,52.53339,13.19824
31,McDonalds,Saalestr. 83,12055,Berlin,Germany,52.4696,13.44227
32,McDonalds,Markstr. 16,13409,Berlin,Germany,52.56067,13.36455
33,McDonalds,Rudower Str. 100,12351,Berlin,Germany,52.43626,13.46493
34,McDonalds,Frankfurter Allee 117,10247,Berlin,Germany,52.51398,13.47705
35,McDonalds,Schlossstr. 117,12163,Berlin,Germany,52.46239,13.32633
36,McDonalds,Clayallee 121,14195,Berlin,Germany,52.4589,13.27357
37,McDonalds,Friedrichstr. 207,10969,Berlin,Germany,52.50721,13.39021
38,McDonalds,Sonnenallee 254,12057,Berlin,Germany,52.47577,13.4519
39,McDonalds,Johannisthaler Chaussee 295,12353,Berlin,Germany,52.43025,13.45596
40,McDonalds,Heerstr. 666,13591,Berlin,Germany,52.52865,13.12389
41,McDonalds,Leipziger Platz 12-13,10117,Berlin,Germany,52.50996,13.37964
42,McDonalds,Hermannplatz 2-3,10967,Berlin,Germany,52.48659,13.42488
43,McDonalds,Buckower Chaussee 100-102,12277,Berlin,Germany,52.4105,13.38181
44,McDonalds,Kantstr. 111a,10627,Berlin,Germany,52.50651,13.30633
45,McDonalds,Osdorferstr. 125a,12207,Berlin,Germany,52.41974,13.313
46,McDonalds,Friedrichstr. 141-142,10117,Berlin,Germany,52.52002,13.38811
47,McDonalds,Friedrichstr. 141-142,10117,Berlin,Germany,52.52002,13.38811
48,McDonalds,Marzahner Promenade 1a,12679,Berlin,Germany,52.54329,13.54349
49,McDonalds,Adlergestell 289a,12489,Berlin,Germany,52.43185,13.54707
50,McDonalds,Schlossstr. 34-36,12163,Berlin,Germany,52.45769,13.32114
51,McDonalds,Am Juliusturm 40-46,13599,Berlin,Germany,52.53722,13.22041
52,McDonalds,Mecklenburgische Str. 65-68,14197,Berlin,Germany,52.47719,13.30746
53,McDonalds,Hardenbergplatz 11,10623,Berlin,Germany,52.50808,13.33333
54,McDonalds,5 Rue du Renard,75004,Paris,France,48.85797,2.35155
55,McDonalds,116 Rue de Rivoli,"75001 ",Paris,France,48.85933,2.34607
56,McDonalds,12 Rue Berger,75001,Paris,France,48.86097,2.34822
57,McDonalds,17 Rue de l'Arc en Ciel,75001,Paris,France,48.856890,2.350850
58,McDonalds,Forum des Halles,75001,Paris,France,48.86167,2.34622
59,McDonalds,98 Boulevard Saint Germain,75005,Paris,France,48.85139,2.34381
60,McDonalds,89 Rue Réaumur,75002,Paris,France,48.86732,2.34702
61,McDonalds,65 Boulevard Saint Michel,75005,Paris,France,48.84707,2.34093
62,McDonalds,4 boulevard Richard Lenoir,75011,Paris,France,48.85399,2.36995
63,McDonalds,99  Rue de Rivoli,75001,Paris,France,48.86273,2.33482
64,McDonalds,141 Boulevard Sébastopol,75002,Paris,France,48.86911,2.35391
65,McDonalds,19 Place de la République,75003,Paris,France,48.86762,2.3624
66,McDonalds,184 Rue de Rivoli,75001,Paris,France,48.86338,2.33354
67,McDonalds,2 Boulevard Poissonnière,75009,Paris,France,48.87091,2.34769
68,McDonalds,2 Boulevard de l'Hôpital,75005,Paris,France,48.84305,2.36374
69,McDonalds,29 Rue du Faubourg du Temple,75010,Paris,France,48.86896,2.36776
70,McDonalds,20 Boulevard Montmartre,75009,Paris,France,48.87209,2.34042
71,McDonalds,80 rue Traversière,75012,Paris,France,48.85099,2.37611
72,McDonalds,88 bis Avenue Parmentier,75011,Paris,France,48.86494,2.37497
73,McDonalds,34 Boulevard des Italiens,75009,Paris,France,48.8713,2.3351
74,McDonalds,"45/47 WHITEHALL, WESTMINSTER",SW1A 2BX,London,England,51.504055,-0.126119
75,McDonalds,34/35 STRAND,WC2N 5HY,London,England,51.508854,-0.124597
76,McDonalds,48 LEICESTER SQUARE,WC2H 7LU,London,England,51.5099,-0.130392
77,McDonalds,68/69 ST MARTINS LANE,WC2N 4JS,London,England,51.51153,-0.126949
78,McDonalds,25/27 SHAFTESBURY AVENUE,W1D 7EQ,London,England,51.570004,-0.350256
79,McDonalds,24 CAMBRIDGE CIRCUS,WC2H 8AA,London,England,51.513634,-0.128985
80,McDonalds,8/10 OXFORD STREET,W1D 1AW,London,England,51.516338,-0.131698
81,McDonalds,185-187 OXFORD STREET,W1D 2JU,London,England,51.515747,-0.137664
82,McDonalds,Waterloo Station,SE1 8SF,London,England,51.503658,-0.113509
83,McDonalds,112 HIGH HOLBORN,WC1V 6JS,London,England,51.517788,-0.119722
84,McDonalds,291B OXFORD STREET,W1C 2DT,London,England,51.514309,-0.149796
85,McDonalds,155 VICTORIA STREET,SW1E 5NA,London,England,51.496554,-0.1419
86,McDonalds,152/153 FLEET STREET,EC4A 2DQ,London,England,51.514288,-0.108357
